src_vid,dst_vid
DB00143,SMP0000015
DB00143,SMP0000075
DB00143,SMP0000083
DB00143,SMP0000098
DB00143,SMP0000102
DB00143,SMP0000106
DB00143,SMP0000109
DB00143,SMP0000113
DB00143,SMP0000120
DB00143,SMP0000143
DB00143,SMP0000337
DB00143,SMP0000385
DB00143,SMP0000447
DB00143,SMP0000559
DB00143,SMP0000604
DB00143,SMP0000640
DB00144,SMP0014216
DB00144,SMP0014218
DB00144,SMP0014220
DB00144,SMP0014224
DB00144,SMP0014228
DB00144,SMP0014229
DB00144,SMP0014230
DB00144,SMP0014233
DB00144,SMP0014235
DB00144,SMP0014240
DB00144,SMP0014242
DB00144,SMP0014245
DB00144,SMP0014248
DB00144,SMP0014249
DB00144,SMP0014255
DB00144,SMP0014267
DB00144,SMP0014272
DB00144,SMP0014274
DB00144,SMP0014277
DB00144,SMP0014278
DB00144,SMP0014279
DB00144,SMP0014287
DB00144,SMP0014290
DB00144,SMP0014291
DB00144,SMP0014294
DB00144,SMP0014300
DB00144,SMP0014303
DB00144,SMP0014304
DB00144,SMP0014306
DB00144,SMP0014310
DB00145,SMP0000004
DB00145,SMP0000009
DB00145,SMP0000020
DB00145,SMP0000024
DB00145,SMP0000050
DB00145,SMP0000072
DB00145,SMP0000177
DB00145,SMP0000188
DB00145,SMP0000210
DB00145,SMP0000314
DB00145,SMP0000339
DB00145,SMP0000360
DB00145,SMP0000361
DB00145,SMP0000364
DB00145,SMP0000365
DB00145,SMP0000428
DB00145,SMP0000465
DB00145,SMP0000501
DB00145,SMP0000507
DB00145,SMP0000535
DB00145,SMP0000720
DB00145,SMP0002313
DB00145,SMP0000033
DB00145,SMP0000035
DB00145,SMP0000136
DB00145,SMP0000144
DB00145,SMP0000168
DB00145,SMP0000183
DB00145,SMP0000203
DB00145,SMP0000207
DB00147,SMP0000137
DB00147,SMP0000139
DB00147,SMP0000173
DB00147,SMP0000524
DB00147,SMP0000017
DB00147,SMP0000138
DB00147,SMP0000200
DB00147,SMP0000503
DB00147,SMP0000523
DB00147,SMP0000032
DB00147,SMP0000140
DB00147,SMP0000141
DB00147,SMP0000199
DB00147,SMP0000236
DB00147,SMP0000237
DB00147,SMP0000238
DB00147,SMP0000384
DB00147,SMP0000521
DB00147,SMP0000522
DB00148,SMP0000004
DB00148,SMP0000020
DB00148,SMP0000188
DB00148,SMP0000360
DB00148,SMP0000361
DB00148,SMP0000507
DB00148,SMP0000207
DB00148,SMP0000208
DB00148,SMP0000223
DB00148,SMP0000244
DB00148,SMP0000363
DB00148,SMP0000506
DB00148,SMP0000179
DB00148,SMP0000242
DB00148,SMP0000362
DB00148,SMP0000484
DB00148,SMP0000485
DB00148,SMP0000504
DB00148,SMP0000505
DB00148,SMP0000721
DB00149,SMP0000137
DB00149,SMP0000139
DB00149,SMP0000173
DB00149,SMP0000248
DB00149,SMP0000251
DB00149,SMP0000254
DB00149,SMP0000293
DB00149,SMP0000294
DB00149,SMP0000524
DB00149,SMP0000713
DB00149,SMP0000730
DB00149,SMP0000731
DB00149,SMP0002298
DB00149,SMP0000138
DB00149,SMP0000200
DB00149,SMP0000252
DB00149,SMP0000253
DB00149,SMP0000258
DB00149,SMP0000290
DB00149,SMP0000291
DB00149,SMP0000292
DB00149,SMP0000295
DB00149,SMP0000523
DB00149,SMP0000712
DB00149,SMP0000714
DB00149,SMP0000727
DB00149,SMP0000728
DB00149,SMP0000729
DB00149,SMP0000032
DB00149,SMP0000140
DB00150,SMP0000063
DB00151,SMP0000004
DB00151,SMP0000021
DB00151,SMP0000072
DB00151,SMP0000080
DB00151,SMP0000088
DB00151,SMP0000091
DB00151,SMP0000110
DB00151,SMP0000121
DB00151,SMP0000134
DB00151,SMP0000135
DB00151,SMP0000177
DB00151,SMP0000339
DB00151,SMP0000501
DB00151,SMP0000027
DB00151,SMP0000033
DB00151,SMP0000078
DB00151,SMP0000090
DB00151,SMP0000097
DB00151,SMP0000103
DB00151,SMP0000108
DB00151,SMP0000122
DB00151,SMP0000133
DB00151,SMP0000136
DB00151,SMP0000183
DB00151,SMP0000184
DB00151,SMP0000193
DB00151,SMP0000221
DB00151,SMP0000223
DB00151,SMP0000243
DB00151,SMP0000244
DB00152,SMP0000076
DB00154,SMP0000018
DB00155,SMP0000362
DB00155,SMP0000504
DB00155,SMP0000505
DB00155,SMP0000002
DB00155,SMP0000003
DB00155,SMP0000020
DB00155,SMP0000188
DB00155,SMP0000360
DB00155,SMP0000361
DB00155,SMP0000507
DB00155,SMP0000001
DB00155,SMP0000059
DB00155,SMP0000067
DB00155,SMP0000175
DB00155,SMP0000192
DB00155,SMP0000205
DB00155,SMP0000207
DB00155,SMP0000208
DB00155,SMP0000357
DB00155,SMP0000363
DB00155,SMP0000506
DB00155,SMP0063777
DB00156,SMP0000248
DB00156,SMP0000251
DB00156,SMP0000254
DB00156,SMP0000293
DB00156,SMP0000294
DB00156,SMP0000713
DB00156,SMP0000730
DB00156,SMP0000731
DB00156,SMP0000247
DB00156,SMP0000249
DB00156,SMP0000250
DB00156,SMP0000255
DB00156,SMP0000256
DB00156,SMP0000257
DB00156,SMP0000259
DB00156,SMP0000262
DB00156,SMP0000452
DB00156,SMP0000711
DB00156,SMP0000726
DB00156,SMP0000252
DB00156,SMP0000253
DB00156,SMP0000258
DB00156,SMP0000290
DB00156,SMP0000291
DB00156,SMP0000292
DB00156,SMP0000295
DB00156,SMP0000712
DB00156,SMP0000714
DB00156,SMP0000727
DB00156,SMP0000728
DB00157,SMP0000010
DB00157,SMP0000013
DB00157,SMP0000028
DB00157,SMP0000032
DB00157,SMP0000037
DB00157,SMP0000040
DB00157,SMP0000053
DB00157,SMP0000063
DB00157,SMP0000064
DB00157,SMP0000068
DB00157,SMP0000124
DB00157,SMP0000129
DB00157,SMP0000140
DB00157,SMP0000141
DB00157,SMP0000167
DB00157,SMP0000179
DB00157,SMP0000181
DB00157,SMP0000185
DB00157,SMP0000187
DB00157,SMP0000199
DB00157,SMP0000201
DB00157,SMP0000214
DB00157,SMP0000220
DB00157,SMP0000222
DB00157,SMP0000235
DB00157,SMP0000236
DB00157,SMP0000237
DB00157,SMP0000238
DB00157,SMP0000242
DB00157,SMP0000316
DB00158,SMP0000543
DB00158,SMP0000053
DB00158,SMP0000432
DB00158,SMP0000724
DB00159,SMP0000018
DB00160,SMP0000002
DB00160,SMP0000003
DB00160,SMP0000004
DB00160,SMP0000029
DB00160,SMP0000072
DB00160,SMP0000248
DB00160,SMP0000251
DB00160,SMP0000254
DB00160,SMP0000293
DB00160,SMP0000294
DB00160,SMP0000339
DB00160,SMP0000501
DB00160,SMP0000713
DB00160,SMP0000730
DB00160,SMP0000731
