src_vid,dst_vid
DB00126,BE0002202
DB00126,BE0002206
DB00126,BE0002208
DB00126,BE0000060
DB00126,BE0002210
DB00126,BE0002203
DB00126,BE0002205
DB00126,BE0002213
DB00126,BE0002215
DB00126,BE0000087
DB00126,BE0002221
DB00126,BE0002223
DB00126,BE0002217
DB00126,BE0002211
DB00126,BE0002219
DB00126,BE0001979
DB00126,BE0000530
DB00126,BE0000168
DB00126,BE0009869
DB00126,BE0001057
DB00126,BE0004707
DB00126,BE0000893
DB00126,BE0000964
DB00127,BE0000566
DB00127,BE0004796
DB00127,BE0000509
DB00127,BE0000172
DB00127,BE0000694
DB00127,BE0000111
DB00127,BE0000275
DB00127,BE0002204
DB00127,BE0000757
DB00127,BE0003648
DB00127,BE0009692
DB00128,BE0000529
DB00128,BE0000187
DB00128,BE0000219
DB00128,BE0000671
DB00128,BE0000481
DB00128,BE0000383
DB00128,BE0000725
DB00128,BE0000235
DB00128,BE0000528
DB00128,BE0002225
DB00128,BE0002228
DB00128,BE0001054
DB00128,BE0000788
DB00128,BE0002229
DB00128,BE0002230
DB00128,BE0003317
DB00128,BE0003751
DB00128,BE0002227
DB00128,BE0003654
DB00128,BE0000424
DB00129,BE0000306
DB00129,BE0000286
DB00129,BE0000371
DB00129,BE0000212
DB00129,BE0000562
DB00129,BE0000258
DB00129,BE0000758
DB00129,BE0000201
DB00129,BE0000347
DB00129,BE0000874
DB00130,BE0000374
DB00130,BE0002240
DB00130,BE0000004
DB00130,BE0000825
DB00130,BE0000003
DB00130,BE0001035
DB00130,BE0002236
DB00130,BE0002239
DB00130,BE0002241
DB00130,BE0002243
DB00130,BE0001273
DB00130,BE0002245
DB00130,BE0000321
DB00130,BE0000219
DB00130,BE0000273
DB00130,BE0002235
DB00130,BE0002237
DB00130,BE0002238
DB00130,BE0002227
DB00130,BE0002242
DB00130,BE0002244
DB00130,BE0009870
DB00130,BE0009871
DB00130,BE0000285
DB00130,BE0000236
DB00130,BE0000423
DB00130,BE0004769
DB00130,BE0009872
DB00130,BE0000222
DB00130,BE0000789
DB00130,BE0002251
DB00130,BE0003654
DB00130,BE0004907
DB00131,BE0000254
DB00131,BE0000350
DB00131,BE0000677
DB00131,BE0000269
DB00131,BE0000639
DB00131,BE0000958
DB00131,BE0004796
DB00131,BE0000007
DB00131,BE0001287
DB00131,BE0002431
DB00131,BE0000352
DB00131,BE0000115
DB00131,BE0000888
DB00132,BE0002246
DB00132,BE0001023
DB00132,BE0000071
DB00132,BE0001777
DB00132,BE0001007
DB00132,BE0000215
DB00132,BE0000412
DB00132,BE0009936
DB00132,BE0009375
DB00132,BE0000986
DB00132,BE0001821
DB00132,BE0000323
DB00133,BE0000164
DB00133,BE0000388
DB00133,BE0000660
DB00133,BE0000441
DB00133,BE0000063
DB00133,BE0000316
DB00133,BE0003654
DB00133,BE0000763
DB00134,BE0000734
DB00134,BE0001534
DB00134,BE0000845
DB00134,BE0002249
DB00134,BE0000304
DB00134,BE0000432
DB00134,BE0000407
DB00134,BE0000288
DB00134,BE0000170
DB00134,BE0000543
DB00134,BE0002248
DB00134,BE0002178
DB00134,BE0002249
DB00134,BE0002240
DB00134,BE0002176
DB00134,BE0003654
DB00134,BE0000614
DB00135,BE0000363
DB00135,BE0000230
DB00135,BE0000692
DB00135,BE0000178
DB00135,BE0003654
DB00135,BE0000779
DB00136,BE0008987
DB00136,BE0002250
DB00136,BE0002638
DB00136,BE0001141
DB00136,BE0000530
DB00137,BE0000030
DB00138,BE0000035
DB00138,BE0003654
DB00138,BE0002251
DB00138,BE0001130
DB00138,BE0000152
DB00139,BE0002258
DB00139,BE0002257
DB00139,BE0000176
DB00139,BE0000355
DB00139,BE0009980
DB00139,BE0002202
DB00139,BE0002206
DB00139,BE0002208
DB00139,BE0002256
DB00139,BE0000528
DB00139,BE0003645
DB00139,BE0002261
DB00139,BE0000022
DB00139,BE0000447
DB00139,BE0000611
DB00139,BE0000370
DB00140,BE0003327
DB00140,BE0000595
DB00140,BE0002198
DB00140,BE0002176
DB00140,BE0001066
DB00140,BE0000259
DB00141,BE0002263
DB00141,BE0002265
DB00141,BE0002266
DB00141,BE0000391
DB00141,BE0000109
DB00141,BE0000824
DB00142,BE0000833
DB00142,BE0000827
DB00142,BE0000828
DB00142,BE0000834
DB00142,BE0000835
DB00142,BE0002267
DB00142,BE0002268
DB00142,BE0002235
DB00142,BE0000721
DB00142,BE0000396
DB00142,BE0000825
DB00142,BE0000383
DB00142,BE0000188
DB00142,BE0000219
DB00142,BE0002240
DB00142,BE0000529
DB00142,BE0000692
DB00142,BE0000667
DB00142,BE0000403
DB00142,BE0001115
DB00142,BE0000884
DB00142,BE0001054
DB00142,BE0000166
DB00142,BE0002270
DB00142,BE0000755
DB00142,BE0000321
DB00142,BE0000517
DB00142,BE0000253
DB00142,BE0000365
DB00142,BE0000700
DB00142,BE0002271
DB00142,BE0000760
DB00142,BE0000417
DB00142,BE0000454
DB00142,BE0002152
DB00142,BE0002272
DB00142,BE0002244
DB00142,BE0002274
DB00142,BE0000727
DB00142,BE0000641
DB00142,BE0002166
DB00142,BE0000073
DB00142,BE0000003
DB00142,BE0002277
DB00142,BE0000030
DB00142,BE0004640
DB00142,BE0000603
DB00142,BE0000180
DB00142,BE0000346
DB00142,BE0000640
DB00142,BE0000606
DB00142,BE0000568
DB00142,BE0000602
DB00142,BE0000378
DB00142,BE0000822
DB00142,BE0000829
DB00142,BE0000831
DB00142,BE0000830
DB00142,BE0000823
DB00142,BE0000826
DB00142,BE0000832
DB00142,BE0003654
DB00142,BE0000669
DB00142,BE0002275
DB00142,BE0002276
DB00142,BE0000747
DB00143,BE0000058
DB00143,BE0002638
DB00143,BE0009997
DB00143,BE0000185
DB00143,BE0000807
DB00143,BE0000808
DB00143,BE0000809
DB00143,BE0000810
DB00143,BE0000811
DB00143,BE0000812
DB00143,BE0000813
DB00143,BE0000814
DB00143,BE0000815
DB00143,BE0000816
DB00143,BE0000817
DB00143,BE0000818
DB00143,BE0000819
DB00143,BE0000820
DB00143,BE0000821
DB00143,BE0000962
DB00143,BE0001117
DB00143,BE0002279
DB00143,BE0001167
DB00143,BE0002281
DB00143,BE0002189
DB00143,BE0002282
DB00143,BE0002283
